"Ward","Street","Occupancy (%)","Bay Type","No. Bays"
"Queen's Park","Stansbury Square",88.4,"Resident Bay","8"
"Hyde Park","Star Street",72.3,"Pay by Phone Bay","3"
"Hyde Park","Star Street",74.3,"Resident Bay","72"
"Knightsbridge and Belgravia","Sterling Street",78.7,"Resident Bay","17"
"Vincent Square","Stillington Street",84.5,"Resident Bay","32"
"Vincent Square","Stillington Street",84.6,"Pay by Phone Bay","3"
"Bryanston and Dorset Square","Stourcliffe Street",73.6,"Pay by Phone Bay","8"
"Bryanston and Dorset Square","Stourcliffe Street",84.1,"Resident Bay","4"
"St. James's","Strand",50.3,"Pay by Phone Bay","7"
"St. James's","Strand",27.3,"Resident Bay","2"
"Marylebone High Street","Stratford Place",42.2,"Pay by Phone Bay","6"
"Marylebone High Street","Stratford Place",12.7,"Shared Use Bay","7"
"Marylebone High Street","Stratford Place",25,"Resident Bay","4"
"Hyde Park","Strathearn Place",79.1,"Resident Bay","10"
"West End","Stratton Street",66.7,"Pay by Phone Bay","8"
"West End","Stratton Street",68.2,"Resident Bay","10"
"St. James's","Suffolk Place",81.8,"Pay by Phone Bay","5"
"St. James's","Suffolk Street",90.7,"Pay by Phone Bay","3"
"Bayswater","Sunderland Terrace",78.6,"Resident Bay","36"
"Westbourne","Surrendale Place",69.2,"Resident Bay","34"
"St. James's","Surrey Street",8.6,"Resident Bay","19"
"St. James's","Surrey Street",21.3,"Pay by Phone Bay","13"
"Hyde Park","Sussex Gardens",65,"Resident Bay","9"
"Hyde Park","Sussex Place",54.3,"Pay by Phone Bay","6"
"Hyde Park","Sussex Place",76.5,"Resident Bay","23"
"Hyde Park","Sussex Square",68.5,"Resident Bay","53"
"Hyde Park","Sussex Square",96.3,"Shared Use Bay","14"
"Churchill","Sussex Street",81.7,"Resident Bay","51"
"Warwick","Sussex Street",81.7,"Resident Bay","51"
"Warwick","Sussex Street",43.2,"Pay by Phone Bay","4"
"Westbourne","Sutherland Avenue",67.9,"Resident Bay","363"
"Westbourne","Sutherland Avenue",73.9,"Pay by Phone Bay","6"
"Little Venice","Sutherland Avenue",67.9,"Resident Bay","363"
"Little Venice","Sutherland Avenue",73.9,"Pay by Phone Bay","6"
"Little Venice","Sutherland Avenue",54.8,"Shared Use Bay","24"
"Bayswater","Sutherland Place",81.8,"Pay by Phone Bay","4"
"Bayswater","Sutherland Place",85.5,"Resident Bay","45"
"Warwick","Sutherland Row",74.5,"Resident Bay","16"
"Churchill","Sutherland Street",80.7,"Resident Bay","67"
"Churchill","Sutherland Street",65.8,"Pay by Phone Bay","7"
"Warwick","Sutherland Street",80.7,"Resident Bay","67"
"Warwick","Sutherland Street",65.8,"Pay by Phone Bay","7"
"Church Street","Swain Street",94.5,"Shared Use Bay","7"
"Church Street","Swain Street",83.9,"Resident Bay","14"
"Warwick","Tachbrook Street",82,"Resident Bay","132"
"Warwick","Tachbrook Street",81.8,"Pay by Phone Bay","2"
"Tachbrook","Tachbrook Street",82,"Resident Bay","132"
"Tachbrook","Tachbrook Street",81.8,"Pay by Phone Bay","2"
"Bayswater","Talbot Road",84.6,"Pay by Phone Bay","3"
"Bayswater","Talbot Road",91.2,"Resident Bay","47"
"Bayswater","Talbot Road",86.2,"Shared Use Bay","9"
"Westbourne","Talbot Road",84.6,"Pay by Phone Bay","3"
"Westbourne","Talbot Road",91.2,"Resident Bay","47"
"Hyde Park","Talbot Square",49,"Shared Use Bay","9"
"Hyde Park","Talbot Square",57.1,"Resident Bay","37"
"Bryanston and Dorset Square","Taunton Mews",100,"Resident Bay","1"
"Bryanston and Dorset Square","Taunton Place",57.6,"Resident Bay","29"
"Westbourne","Tavistock Crescent",90.4,"Resident Bay","23"
"Westbourne","Tavistock Road",71.4,"Resident Bay","43"
"Westbourne","Tavistock Road",NA,"Pay by Phone Bay",NA
"St. James's","Tavistock Street",76.6,"Pay by Phone Bay","23"
"St. James's","Tavistock Street",76.2,"Resident Bay","14"
"St. James's","Temple Place",42.2,"Pay by Phone Bay","25"
"Marylebone High Street","Thayer Street",39.7,"Resident Bay","7"
"Abbey Road","The Marlowes",63.6,"Resident Bay","1"
"Queen's Park","Third Avenue",63.6,"Shared Use Bay","17"
"Queen's Park","Third Avenue",62.3,"Resident Bay","104"
"Queen's Park","Third Avenue",86.1,"Pay by Phone Bay","8"
"Vincent Square","Thirleby Road",62,"Resident Bay","57"
"Harrow Road","Thorngate Road",55.3,"Resident Bay","28"
"West End","Tilney Street",93.8,"Pay by Phone Bay","3"
"West End","Tilney Street",55.7,"Resident Bay","6"
"Hyde Park","Titchborne Row",49.5,"Resident Bay","16"
"Regent's Park","Titchfield Road",100,"Pay by Phone Bay","3"
"Regent's Park","Titchfield Road",76.9,"Shared Use Bay","12"
"Regent's Park","Titchfield Road",82.5,"Resident Bay","14"
"Westbourne","Torquay Street",93.8,"Resident Bay","6"
"Westbourne","Torquay Street",95.5,"Pay by Phone Bay","4"
"St. James's","Tothill Street",41.9,"Pay by Phone Bay","8"
"Regent's Park","Townshend Road",72.7,"Resident Bay","56"
"Regent's Park","Townshend Road",58.2,"Pay by Phone Bay","13"
"Abbey Road","Townshend Road",72.7,"Resident Bay","56"
"Abbey Road","Townshend Road",58.2,"Pay by Phone Bay","13"
"Abbey Road","Townshend Road",57.6,"Shared Use Bay","8"
"Bryanston and Dorset Square","Transept Street",84.8,"Resident Bay","27"
"West End","Trebeck Street",81.8,"Resident Bay","4"
"Church Street","Tresham Crescent",69.5,"Resident Bay","26"
"Knightsbridge and Belgravia","Trevor Place",71,"Pay by Phone Bay","6"
"Knightsbridge and Belgravia","Trevor Place",64.7,"Resident Bay","37"
"Knightsbridge and Belgravia","Trevor Square",67.3,"Pay by Phone Bay","10"
"Knightsbridge and Belgravia","Trevor Square",81.4,"Resident Bay","12"
"Knightsbridge and Belgravia","Trevor Street",67.1,"Resident Bay","26"
"St. James's","Tufton Street",72.2,"Resident Bay","7"
"St. James's","Tweezers Alley",9,"Pay by Phone Bay","3"
"St. James's","Tweezers Alley",0,"Resident Bay","3"
"Vincent Square","Udall Street",57.2,"Pay by Phone Bay","3"
"Vincent Square","Udall Street",18,"Resident Bay","3"
"Lancaster Gate","Upbrook Mews",65.1,"Resident Bay","9"
"Knightsbridge and Belgravia","Upper Belgrave Street",57,"Resident Bay","32"
"Knightsbridge and Belgravia","Upper Belgrave Street",30.8,"Pay by Phone Bay","14"
"Bryanston and Dorset Square","Upper Berkeley Street",81.5,"Pay by Phone Bay","3"
"Bryanston and Dorset Square","Upper Berkeley Street",56.6,"Resident Bay","7"
"Bryanston and Dorset Square","Upper Berkeley Street",61.6,"Shared Use Bay","22"
"West End","Upper Brook Street",62.5,"Resident Bay","14"
"West End","Upper Brook Street",18.2,"Pay by Phone Bay","5"
"West End","Upper Grosvenor Street",44.6,"Shared Use Bay","22"
"West End","Upper Grosvenor Street",50.9,"Resident Bay","10"
"Bryanston and Dorset Square","Upper Montagu Street",73.7,"Pay by Phone Bay","8"
"Bryanston and Dorset Square","Upper Montagu Street",83.1,"Resident Bay","35"
"Bryanston and Dorset Square","Upper Montagu Street",79.3,"Shared Use Bay","8"
"St. James's","Upper St Martins Lane",92.7,"Resident Bay","5"
"Warwick","Upper Tachbrook Street",58.8,"Pay by Phone Bay","8"
"Marylebone High Street","Upper Wimpole Street",69.8,"Shared Use Bay","34"
"Queen's Park","Verdi Crescent",68.2,"Shared Use Bay","2"
"Queen's Park","Verdi Crescent",65.5,"Resident Bay","20"
"St. James's","Victoria Square",72.7,"Pay by Phone Bay","5"
"St. James's","Victoria Square",72.3,"Resident Bay","22"
"St. James's","Vincent Square",28.1,"Pay by Phone Bay","61"
"St. James's","Vincent Square",49.2,"Resident Bay","153"
"Vincent Square","Vincent Square",49.2,"Resident Bay","153"
"Vincent Square","Vincent Square",28.1,"Pay by Phone Bay","61"
"Vincent Square","Vincent Street",98,"Resident Bay","35"
"Abbey Road","Violet Hill",82.8,"Resident Bay","23"
"Abbey Road","Violet Hill",77.3,"Pay by Phone Bay","2"
"Vincent Square","Walcott Street",100,"Resident Bay","2"
"Bryanston and Dorset Square","Wallenberg Place",NA,"Shared Use Bay",NA
"Harrow Road","Walterton Road",71.9,"Resident Bay","120"
"Harrow Road","Walterton Road",81.8,"Pay by Phone Bay","1"
"Harrow Road","Walterton Road",69.1,"Shared Use Bay","10"
"West End","Wardour Street",89.9,"Pay by Phone Bay","13"
"West End","Wardour Street",84.8,"Resident Bay","23"
"Harrow Road","Warlock Road",53.5,"Pay by Phone Bay","14"
"Harrow Road","Warlock Road",71.3,"Resident Bay","51"
"Little Venice","Warrington Crescent",74.9,"Pay by Phone Bay","7"
"Little Venice","Warrington Crescent",77.7,"Resident Bay","170"
"Little Venice","Warrington Gardens",90,"Resident Bay","10"
"Little Venice","Warwick Avenue",68.6,"Resident Bay","35"
"Little Venice","Warwick Avenue",59.7,"Pay by Phone Bay","11"
"Little Venice","Warwick Avenue",72.7,"Shared Use Bay","30"
"Westbourne","Warwick Crescent",62.9,"Resident Bay","34"
"Little Venice","Warwick Place",81.5,"Pay by Phone Bay","3"
"Warwick","Warwick Place North",95.5,"Resident Bay","2"
"St. James's","Warwick Row",59.1,"Pay by Phone Bay","4"
"Warwick","Warwick Square",76.5,"Shared Use Bay","13"
"Warwick","Warwick Square",30.5,"Pay by Phone Bay","8"
"Warwick","Warwick Square",63.7,"Resident Bay","127"
"West End","Warwick Street",43.6,"Pay by Phone Bay","19"
"West End","Warwick Street",63.6,"Resident Bay","2"
"Warwick","Warwick Way",64.2,"Shared Use Bay","46"
"Warwick","Warwick Way",76,"Resident Bay","15"
"St. James's","Waterloo Place",51.6,"Shared Use Bay","26"
"St. James's","Waterloo Place",54.3,"Pay by Phone Bay","3"
"Abbey Road","Waverley Place",57.4,"Shared Use Bay","17"
"Abbey Road","Waverley Place",61.2,"Resident Bay","18"
"West End","Waverton Street",74.5,"Resident Bay","13"
"West End","Waverton Street",84.1,"Pay by Phone Bay","4"
"Marylebone High Street","Welbeck Street",48.3,"Pay by Phone Bay","11"
"Marylebone High Street","Welbeck Street",67,"Resident Bay","36"
"Marylebone High Street","Welbeck Way",77.3,"Resident Bay","2"
"Regent's Park","Wellington Place",67,"Pay by Phone Bay","19"
"Regent's Park","Wellington Place",79.8,"Resident Bay","17"
"St. James's","Wellington Street",45,"Pay by Phone Bay","9"
"West End","Wells Mews",54.5,"Pay by Phone Bay","2"
"West End","Wells Mews",61.4,"Resident Bay","4"
"Regent's Park","Wells Rise",76.2,"Resident Bay","12"
"Regent's Park","Wells Rise",72.5,"Shared Use Bay","8"
"West End","Wells Street",61.4,"Pay by Phone Bay","11"
"West End","Wells Street",76.4,"Resident Bay","25"
"Marylebone High Street","Wesley Street",93.8,"Resident Bay","3"
"Knightsbridge and Belgravia","West Eaton Place",84.5,"Shared Use Bay","6"
"Knightsbridge and Belgravia","West Halkin Street",65.5,"Pay by Phone Bay","5"
"St. James's","West Street",86.4,"Pay by Phone Bay","2"
"Warwick","West Warwick Place",90.9,"Resident Bay","4"
"Hyde Park","Westbourne Crescent",89.8,"Resident Bay","18"
"Bayswater","Westbourne Gardens",65.3,"Pay by Phone Bay","13"
"Bayswater","Westbourne Gardens",74.9,"Resident Bay","75"
"Bayswater","Westbourne Grove",57.5,"Pay by Phone Bay","3"
"Bayswater","Westbourne Grove",78.5,"Resident Bay","19"
"Bayswater","Westbourne Grove Terrace",78.6,"Resident Bay","21"
"Bayswater","Westbourne Grove Terrace",75.5,"Pay by Phone Bay","3"
"Bayswater","Westbourne Park Road",61.8,"Pay by Phone Bay","5"
"Bayswater","Westbourne Park Road",74.4,"Resident Bay","42"
"Westbourne","Westbourne Park Road",61.8,"Pay by Phone Bay","5"
"Westbourne","Westbourne Park Road",74.4,"Resident Bay","42"
"Bayswater","Westbourne Park Villas",34.4,"Pay by Phone Bay","11"
"Bayswater","Westbourne Park Villas",77.2,"Resident Bay","39"
"Westbourne","Westbourne Terrace Road",68.2,"Pay by Phone Bay","2"
"Westbourne","Westbourne Terrace Road",74.4,"Resident Bay","42"
"Churchill","Westmoreland Place",64.3,"Resident Bay","35"
"Marylebone High Street","Westmoreland Street",67.9,"Pay by Phone Bay","6"
"Marylebone High Street","Westmoreland Street",77.6,"Resident Bay","17"
"Churchill","Westmoreland Terrace",70.7,"Resident Bay","44"
"Churchill","Westmoreland Terrace",80.1,"Shared Use Bay","9"
"Churchill","Westmoreland Terrace",NA,"Pay by Phone Bay",NA
"Marylebone High Street","Weymouth Mews",87.2,"Resident Bay","8"
"Marylebone High Street","Weymouth Street",58.7,"Pay by Phone Bay","26"
"Marylebone High Street","Weymouth Street",74.3,"Shared Use Bay","35"
"Marylebone High Street","Weymouth Street",91.5,"Resident Bay","28"
"Marylebone High Street","Wheatley Street",88.6,"Resident Bay","17"
"St. James's","Whitcomb Street",75.5,"Resident Bay","3"
"St. James's","Whitehall Court",55.7,"Resident Bay","47"
"St. James's","Whitehall Place",30.5,"Resident Bay","33"
"Church Street","Whitehaven Street",82.7,"Resident Bay","8"
"Knightsbridge and Belgravia","Whittaker Street",81.6,"Pay by Phone Bay","3"
"Maida Vale","Widley Road",67.6,"Resident Bay","64"
"Maida Vale","Widley Road",68.2,"Pay by Phone Bay","4"
"Marylebone High Street","Wigmore Place",95.5,"Resident Bay","2"
"Marylebone High Street","Wigmore Street",0,"Pay by Phone Bay","3"
"Marylebone High Street","Wigmore Street",32.5,"Resident Bay","31"
"St. James's","Wild Street",73.6,"Resident Bay","11"
"St. James's","Wilfred Street",89.1,"Resident Bay","12"
"St. James's","William Iv Street",0,"Pay by Phone Bay","2"
"St. James's","William Iv Street",NA,"Resident Bay",NA
"Knightsbridge and Belgravia","William Street",39.1,"Pay by Phone Bay","3"
"Vincent Square","Willow Place",66.1,"Resident Bay","31"
"Vincent Square","Willow Place",80,"Pay by Phone Bay","5"
"Knightsbridge and Belgravia","Wilton Crescent",59.5,"Resident Bay","82"
"Knightsbridge and Belgravia","Wilton Crescent",41.8,"Pay by Phone Bay","14"
"Knightsbridge and Belgravia","Wilton Mews",100,"Resident Bay","1"
"Knightsbridge and Belgravia","Wilton Place",65.1,"Pay by Phone Bay","21"
"Knightsbridge and Belgravia","Wilton Place",65.9,"Resident Bay","46"
"Warwick","Wilton Road",100,"Resident Bay","3"
"Warwick","Wilton Road",66.2,"Pay by Phone Bay","3"
"Knightsbridge and Belgravia","Wilton Street",48.8,"Resident Bay","46"
"Knightsbridge and Belgravia","Wilton Street",NA,"Pay by Phone Bay",NA
"Knightsbridge and Belgravia","Wilton Terrace",58.1,"Resident Bay","12"
"Marylebone High Street","Wimpole Street",68.6,"Shared Use Bay","37"
"Marylebone High Street","Wimpole Street",40.7,"Pay by Phone Bay","58"
"Marylebone High Street","Wimpole Street",35.2,"Resident Bay","11"
"Warwick","Winchester Street",71.9,"Resident Bay","98"
"Warwick","Winchester Street",96.4,"Shared Use Bay","5"
"Warwick","Winchester Street",100,"Pay by Phone Bay","1"
"Westbourne","Windsor Gardens",88.6,"Resident Bay","4"
"West End","Winnett Street",87.6,"Pay by Phone Bay","3"
"Hyde Park","Winsland Mews",3,"Pay by Phone Bay","3"
"Hyde Park","Winsland Street",NA,"Pay by Phone Bay",NA
"Westbourne","Woodchester Square",94.2,"Resident Bay","26"
"Westbourne","Woodfield Place",66.9,"Shared Use Bay","8"
"Westbourne","Woodfield Place",67.9,"Resident Bay","8"
"Westbourne","Woodfield Road",57.5,"Pay by Phone Bay","12"
"Westbourne","Woodfield Road",77.1,"Shared Use Bay","17"
"Westbourne","Woodfield Road",55,"Resident Bay","12"
"West End","Woods Mews",83.8,"Resident Bay","8"
"Abbey Road","Woronzow Road",61.1,"Resident Bay","33"
"Abbey Road","Woronzow Road",25,"Pay by Phone Bay","4"
"Maida Vale","Wymering Road",77.3,"Shared Use Bay","23"
"Maida Vale","Wymering Road",76.9,"Resident Bay","63"
"Bryanston and Dorset Square","Wyndham Place",88.9,"Resident Bay","18"
"Bryanston and Dorset Square","Wyndham Place",92.7,"Shared Use Bay","5"
"Bryanston and Dorset Square","Wyndham Street",65.1,"Pay by Phone Bay","14"
"Bryanston and Dorset Square","Wyndham Street",72.9,"Resident Bay","18"
"Bryanston and Dorset Square","York Street",75.4,"Pay by Phone Bay","16"
"Bryanston and Dorset Square","York Street",78.7,"Shared Use Bay","22"
"Bryanston and Dorset Square","York Street",88.3,"Resident Bay","40"
"Marylebone High Street","York Street",78.7,"Shared Use Bay","22"
"Marylebone High Street","York Street",88.3,"Resident Bay","40"
